id,tweet,created_at,user_id,name,username,retweets_count,replies_count,likes_count,quote_url
1517417898133884928,'Hay que tener una apertura de mente en los modelos educativos' María Rotondo @Telefonica  Aquí te dejamos el enlace para seguirnos en streaming  https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech  https://t.co/dB8tF3prJv,2022-04-22 10:19:53 CEST,734674933217931265,Mujeres a Seguir,mujeresaseguir,0,0,2,
1517409914792075264,"A día de hoy, el 41 % de las  investigaciones públicas las hacen mujeres. Descubre más datos en numerosas jornada @TheBridge_Tech #mujerytecnología   https://t.co/bNRyoB4h6y  https://t.co/ZBQ4299zQW",2022-04-22 09:48:10 CEST,734674933217931265,Mujeres a Seguir,mujeresaseguir,0,0,0,
1517396691443490816,@MujeresaSeguir @Globant @TheBridge_Tech Qué gran panel!,2022-04-22 08:55:37 CEST,15942584,capgemini_es,capgemini_es,0,0,0,
1517147713254526978,"¿Unimos #psicología, diseño #uxui y #realidadvirtual? La respuesta: SÍ! Te invitamos a la mesa redonda del 28 de abril en @TheBridge_Tech donde trataremos el diseño ux desde el punto de vista del tratamiento de las fobias a través de la #vr. Entradas 👉 https://t.co/JGOpD7p2rO",2022-04-21 16:26:16 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,0,
1517121644682256385,@MujeresaSeguir @Globant @TheBridge_Tech Apuntado en la agenda 👌,2022-04-21 14:42:41 CEST,1360217897008791554,Gemma R.B.,gemmarbar,0,0,0,
1517111329374543873,¡Gracias a vosotros!,2022-04-21 14:01:42 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,1,https://twitter.com/itep_es/status/1517103356346617856
1517103356346617856,"📢Como ya sabéis, antes de #SemanaSanta, nuestro alumnado de la #FPinformática💻 visitaron @TheBridge_Tech. Gracias a su trato hacia #ITEP🔵 y su colaboración os ofrecemos nuevas imágenes de esa actividad‼️ En ellas queda patente el interés de la cita 👌🏻  https://t.co/nt0LFYitDB",2022-04-21 13:30:01 CEST,220072811,ITEP Formación,itep_es,1,0,4,
1516740060346929153,@TheBridge_Tech Otro de los placeres de haber pasado unos meses en esas aulas!! 😉👩🏻‍💻,2022-04-20 13:26:24 CEST,91124440,Maï R. Entem 👩‍💻🇪🇦🇨🇵🇪🇺🇸🇬🌍🚣‍♀️,mrentem,0,0,1,
1516687246241550337,"¡Qué bonito es nuestro palacio! 😍 Todo un privilegio para alumnos, profes y staff poder disfrutar de este espacio en pleno centro de Madrid.",2022-04-20 09:56:32 CEST,1162694149956603904,The Bridge,thebridge_tech,0,1,3,https://twitter.com/alicesilverpol/status/1516642096660287489
1516642121729679362,"Actualmente acoge las oficinas de The Bridge, una aceleradora de talento digital 📷 @TheBridge_Tech  https://t.co/xgWzxnqdOI",2022-04-20 06:57:14 CEST,67597387,Alice Silver 🏳️‍🌈,alicesilverpol,0,1,8,
1516505700595388430,@bertinha84 @TheBridge_Tech 👏🏻👏🏻👏🏻  🙌🏻,2022-04-19 21:55:08 CEST,16512007,JM,jmnavarro,0,0,1,
1516440085486575617,"▶Os presentamos a Jesús, alumni recién graduado del #bootcamp de #digitalmarketingops que tras acabar la carrera se lanzó en busca de una especialización en #MarketingDigital ¡Gracias Jesús por compartir tu experiencia y mucha suerte! 🚀 Más info 👉 https://t.co/GtnhQmDsGP  https://t.co/4VV7VDyjjP",2022-04-19 17:34:25 CEST,1162694149956603904,The Bridge,thebridge_tech,0,0,1,
1516070347854028804,@AndreaMaganRey @TheBridge_Tech  https://t.co/fpGUkYnGX4,2022-04-18 17:05:12 CEST,604485175,Berta Otero,bertinha84,0,0,1,
1516067228344533003,@bertinha84 @TheBridge_Tech A por ello @bertinha84  https://t.co/tz445Lv3mV,2022-04-18 16:52:49 CEST,397537147,Andrea,andreamaganrey,0,1,1,
